;advanced.name;0
api.proxyscrape.com;627
free-proxy-list.com;250
free-proxy-list.net;1200
freeproxy.world;1300
github-RX4096;204
github-ShiftyTR;656
github-TheSpeedX;4775
github-Volodichev;2222
github-almroot;11
github-aslisk;1762
github-clarketm;400
github-hendrikbgr;51
github-hookzof;234
github-jetkai;4338
github-manuGMG;448
github-mertguvencli;121
github-mmpx12;3594
github-monosans;300
github-rdavydov;228
github-roosterkid;539
github-sunny9577;883
hidemy.name;1600
list.proxylistplus.com;298
netzwelt.de;60
openproxy.space;0
premiumproxy.net;11
proxy-list.download;2096
proxydb.net;60
smallseotools.com;0
us-proxy.org;400
All: 28705, Without Duplicates: 12084
